,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
17,2024-03-08,583.8051388503318,-798.2871493174199,1232.0821903796098,583.8051388503318,583.8051388503318,-351.8506604410323,-351.8506604410323,-351.8506604410323,-625.8930087181928,-625.8930087181928,-625.8930087181928,274.0423482771606,274.0423482771606,274.0423482771606,0.0,0.0,0.0,231.9544784092995
18,2024-03-09,515.5505563921744,-544.1598086242709,1471.1033250389548,515.5505563921744,515.5505563921744,-79.61122864461386,-79.61122864461386,-79.61122864461386,-625.8930087223362,-625.8930087223362,-625.8930087223362,546.2817800777223,546.2817800777223,546.2817800777223,0.0,0.0,0.0,435.9393277475605
19,2024-03-10,447.2959819876958,-1367.202875367153,697.8757022691376,447.2959819876958,447.2959819876958,-807.5576853499209,-807.5576853499209,-807.5576853499209,-625.8930087146703,-625.8930087146703,-625.8930087146703,-181.66467663525057,-181.66467663525057,-181.66467663525057,0.0,0.0,0.0,-360.2617033622251
20,2024-03-11,379.0414068665463,-1351.3111440042467,639.4284300469055,379.0414068665463,379.0414068665463,-729.5153732272329,-729.5153732272329,-729.5153732272329,-625.8930087188135,-625.8930087188135,-625.8930087188135,-103.62236450841945,-103.62236450841945,-103.62236450841945,0.0,0.0,0.0,-350.4739663606866
21,2024-03-12,310.7868308103179,-1260.389402248861,690.249673215035,310.7868308103179,310.7868308103179,-597.3260765786729,-597.3260765786729,-597.3260765786729,-625.8930087192388,-625.8930087192388,-625.8930087192388,28.566932140565832,28.566932140565832,28.566932140565832,0.0,0.0,0.0,-286.539245768355
22,2024-03-13,242.53225475408948,-1621.9444065541359,387.5318087736624,242.53225475408948,242.53225475408948,-845.3249001420426,-845.3249001420426,-845.3249001420426,-625.893008711573,-625.893008711573,-625.893008711573,-219.43189143046968,-219.43189143046968,-219.43189143046968,0.0,0.0,0.0,-602.7926453879531
23,2024-03-14,174.27767869786123,-1754.1129509356163,80.53241078055969,174.27767869786123,174.27767869786123,-970.0651366360831,-970.0651366360831,-970.0651366360831,-625.8930087157162,-625.8930087157162,-625.8930087157162,-344.172127920367,-344.172127920367,-344.172127920367,0.0,0.0,0.0,-795.7874579382219
24,2024-03-15,106.02310264163265,-1269.3847050310767,720.4780541919429,106.02310264163265,106.02310264163265,-351.85066044184475,-351.85066044184475,-351.85066044184475,-625.8930087198595,-625.8930087198595,-625.8930087198595,274.04234827801463,274.04234827801463,274.04234827801463,0.0,0.0,0.0,-245.8275578002121
25,2024-03-16,37.76852658540439,-1062.2038705672176,979.4501142603048,36.27333779706686,39.27864660166332,-79.61122863438673,-79.61122863438673,-79.61122863438673,-625.8930087121936,-625.8930087121936,-625.8930087121936,546.281780077807,546.281780077807,546.281780077807,0.0,0.0,0.0,-41.842702048982346
26,2024-03-17,-30.486049470824184,-1829.8145336929367,136.56443947197283,-35.35769526882705,-25.67611028787331,-807.5576853483167,-807.5576853483167,-807.5576853483167,-625.8930087126189,-625.8930087126189,-625.8930087126189,-181.66467663569773,-181.66467663569773,-181.66467663569773,0.0,0.0,0.0,-838.0437348191408
27,2024-03-18,-98.74062552705244,-1773.8794534572885,129.41137144940453,-107.68658097474616,-89.45466737141794,-729.5153732262359,-729.5153732262359,-729.5153732262359,-625.8930087167622,-625.8930087167622,-625.8930087167622,-103.62236450947363,-103.62236450947363,-103.62236450947363,0.0,0.0,0.0,-828.2559987532883
28,2024-03-19,-166.99520158328102,-1776.3362531580597,205.98302345210712,-180.6913130387766,-152.37461597611477,-597.3260765802552,-597.3260765802552,-597.3260765802552,-625.8930087209054,-625.8930087209054,-625.8930087209054,28.566932140650188,28.566932140650188,28.566932140650188,0.0,0.0,0.0,-764.3212781635361
29,2024-03-20,-235.24977763950895,-2020.3326749950058,-51.77790476859676,-254.2306795084806,-214.76030196738532,-845.3249001436433,-845.3249001436433,-845.3249001436433,-625.8930087132395,-625.8930087132395,-625.8930087132395,-219.43189143040365,-219.43189143040365,-219.43189143040365,0.0,0.0,0.0,-1080.5746777831523
