,trip_id,bike_id,trip_duration,trip_start_time,trip_end_time,from_station,from_station_id,from_station_mode,from_lat,from_long,to_station,to_station_id,to_station_mode,to_lat,to_long
25242,20240223987,33930,0 days 00:29:59,2024-02-20 15:00:06,2024-02-20 15:30:05,Bahnhof Littenweiler/PH,3695,station,47.981851,7.894058,Lehener Straße/Wentzingerstraße (FreloPlus),3659.0,station,47.999714,7.842265
25246,20240223988,33930,0 days 00:15:02,2024-02-20 15:45:03,2024-02-20 16:00:05,Lehener Straße/Wentzingerstraße (FreloPlus),3659,station,47.999714,7.842265,Moltkestraße,3674.0,station,47.995016,7.843514
25255,20240223989,33930,0 days 00:15:01,2024-02-20 16:40:04,2024-02-20 16:55:05,Moltkestraße,3674,station,47.995016,7.843514,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
25340,20240223990,33930,,2024-02-20 23:55:03,,StuSie / Sundgauallee,36529,station,48.007116,7.819219,,,,,
43104,20240223991,33935,0 days 00:09:59,2024-02-20 21:05:05,2024-02-20 21:15:04,Rathaus im Stühlinger (FreloPlus),3748,station,47.99987,7.83207,BIKE 33935,0.0,floating,48.00188,7.82584
43105,20240223992,33935,0 days 00:05:02,2024-02-20 21:15:04,2024-02-20 21:20:06,BIKE 33935,0,floating,48.00188,7.82584,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
43137,20240223993,33935,,2024-02-20 23:55:03,,StuSie / Sundgauallee,36529,station,48.007116,7.819219,,,,,
44588,20240223994,33936,0 days 00:09:58,2024-02-20 11:15:06,2024-02-20 11:25:04,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,Güterhallenstraße,3693.0,station,48.01267,7.84964
44612,20240223995,33936,0 days 00:15:00,2024-02-20 13:30:05,2024-02-20 13:45:05,Güterhallenstraße,3693,station,48.01267,7.84964,Herrmann-Herder-Straße,3726.0,station,48.002664,7.851253
44642,20240223996,33936,0 days 00:20:01,2024-02-20 16:10:04,2024-02-20 16:30:05,Herrmann-Herder-Straße,3726,station,48.002664,7.851253,Kronenbrücke / Wilhelmstraße,3847.0,station,47.991351,7.844388
44724,20240223997,33936,0 days 00:10:00,2024-02-20 23:15:04,2024-02-20 23:25:04,Kronenbrücke / Wilhelmstraße,3847,station,47.991351,7.844388,Freiburg - Else-Wagner-Straße,36528.0,station,47.984838,7.820495
44731,20240223998,33936,,2024-02-20 23:55:03,,Freiburg - Else-Wagner-Straße,36528,station,47.984838,7.820495,,,,,
35144,20240223999,33940,0 days 00:24:59,2024-02-20 16:40:04,2024-02-20 17:05:03,Mühle,36512,station,47.995083,7.825075,Schwabentor,3732.0,station,47.992394,7.854083
35191,20240224000,33940,0 days 00:10:02,2024-02-20 20:55:03,2024-02-20 21:05:05,Schwabentor,3732,station,47.992394,7.854083,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
35193,20240224001,33940,0 days 00:10:02,2024-02-20 21:10:04,2024-02-20 21:20:06,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Ludwigstraße/Landratsamt,3727.0,station,47.999184,7.85678
35225,20240224002,33940,,2024-02-20 23:55:03,,Ludwigstraße/Landratsamt,3727,station,47.999184,7.85678,,,,,
36643,20240224003,33946,0 days 00:15:00,2024-02-20 17:30:05,2024-02-20 17:45:05,Bötzinger Straße / Stryker,36509,station,47.9859,7.78244,Munzinger Straße (FreloPlus),3686.0,station,47.98821,7.79626
36652,20240224004,33946,0 days 00:19:59,2024-02-20 18:25:05,2024-02-20 18:45:04,Munzinger Straße (FreloPlus),3686,station,47.98821,7.79626,Peter-Thumb-Straße,3744.0,station,47.97998,7.83215
36715,20240224005,33946,,2024-02-20 23:55:03,,Peter-Thumb-Straße,3744,station,47.97998,7.83215,,,,,
24333,20240224006,33948,-1 days +21:54:59,2024-02-20 16:40:04,2024-02-20 14:35:03,Bahnhof Littenweiler/PH,3695,station,47.981851,7.894058,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
24325,20240224007,33948,0 days 01:09:59,2024-02-20 16:00:05,2024-02-20 17:10:04,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
24334,20240224008,33948,0 days 00:15:00,2024-02-20 17:10:04,2024-02-20 17:25:04,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Heinrich-von-Stephan-Straße / Basler Straße,3850.0,station,47.986277,7.837581
24413,20240224009,33948,,2024-02-20 23:55:03,,Heinrich-von-Stephan-Straße / Basler Straße,3850,station,47.986277,7.837581,,,,,
41893,20240224010,35550,0 days 00:25:00,2024-02-20 14:45:03,2024-02-20 15:10:03,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,Engelbergerstraße,3658.0,station,47.997058,7.834818
41919,20240224011,35550,0 days 00:10:00,2024-02-20 17:15:04,2024-02-20 17:25:04,Engelbergerstraße,3658,station,47.997058,7.834818,Bissierstraße,3872.0,station,48.002113,7.820174
41921,20240224012,35550,0 days 00:15:00,2024-02-20 17:30:05,2024-02-20 17:45:05,Bissierstraße,3872,station,48.002113,7.820174,Albertstraße/Institutsviertel,3724.0,station,48.000858,7.849587
41928,20240224013,35550,0 days 00:15:01,2024-02-20 18:15:04,2024-02-20 18:30:05,Albertstraße/Institutsviertel,3724,station,48.000858,7.849587,Schwabentor,3732.0,station,47.992394,7.854083
41933,20240224014,35550,0 days 00:15:00,2024-02-20 18:50:03,2024-02-20 19:05:03,Schwabentor,3732,station,47.992394,7.854083,Lorettostraße,3741.0,station,47.984648,7.847861
41949,20240224015,35550,0 days 00:10:00,2024-02-20 20:20:06,2024-02-20 20:30:06,Lorettostraße,3741,station,47.984648,7.847861,Holzmarkt,3697.0,station,47.991982,7.850421
41991,20240224016,35550,,2024-02-20 23:55:03,,Holzmarkt,3697,station,47.991982,7.850421,,,,,
